deity_name,common_name,lunar_month,lunar_day,occasion_type,honorific_source,honorific_note,source_1,source_2,source_3,is_consensus,note
釋迦牟尼佛,佛祖,2,8,出家,出家,amtb.tw、hwadzan.com(淨空老法師教育體系相關網站)用「出家紀念日」,https://www.lungshan.org.tw/tw/02_3_birthday.php,,,false,"仍僅2個來源且其一疑似非真正獨立(amtb.tw 與 hwadzan.com 高度疑似同屬淨空老法師教育體系),若不計入則實質僅1源,未達標;未取得 amtb.tw/hwadzan.com 的精確網址,故未列入 source 欄位"
濟公,,10,3,得道,得道,龍隱寺原文「濟公禪師得道在農曆十月初三日」,https://www.longin.org.tw/about.html,,,false,"仍僅1個來源(嘉義龍隱寺,濟公主祀廟之一);第二輪查了旗尾五龍山鳳山寺(同奉祀濟公)但官網未記載此日期"
瑤池金母,,3,3,聖誕,聖誐,"尚未逐字確認來源網頁針對三月初三專屬使用的敬稱詞,暫沿用西王母條目泛稱",https://www.nownews.com/news/5627449,https://zh.wikipedia.org/zh-tw/西王母,,false,"仍僅2個獨立來源;第二輪查了松山慈惠堂、花蓮慈惠堂總堂、指南宮、花蓮勝安宮官網皆未提及三月初三。另查到慈惠堂系統可能另有「農曆六月初三蟠桃盛會」說法,僅WebSearch摘要、未經WebFetch確認原始頁面,不足採信,僅供後續參考"
王母娘娘,,3,3,聖誕,聖誕,同瑤池金母該行說明,https://www.nownews.com/news/5627449,https://zh.wikipedia.org/zh-tw/西王母,,false,詳見瑤池金母同日期該行說明
財神,五路財神/迎財神,1,5,紀念日,生日,"屏東都城隍廟原文「五路財神的生日」,非規則敬稱詞但為來源原文",https://www.duch.org.tw/?act=menuinfo&ml_id=20210728009&cmd=detail&mi_id=20210730020,,,false,"仍僅1個來源;第二輪查了北港武德宮(全台最權威武財神廟)、關渡宮五路財神殿兩間主祀廟官網,皆只承認三月十五(武)財神聖誕,完全未提正月初五,進一步強化「正月初五非廟方認定的神明生日,而是民俗迎財神習俗日」的結論,與三月十五武財神聖誕(見主表)不宜混用"
開臺聖王,國姓爺,1,16,聖誕,聖誕千秋,彰化永靖鄉公所(延平郡王爺紀念館)僅稱「宗教儀式」未用敬稱詞,https://tcmb.culture.tw/zh-tw/detail?indexCode=Culture_Event&id=284406,https://www.chcg.gov.tw/TSO/yongjing/07other/main.aspx?main_id=45717,https://zh.wikipedia.org/zh-tw/延平郡王祠,false,"已查出三個候選日期(正月十六、7/24、8/18),來源性質不一致,共識不存在,不予收錄。正月十六原列入主表,現移回本表:三個來源裡前兩源(國家文化記憶庫轉載宜蘭蘇澳田心建安廟公告)屬廟方生日宣告,第三源(維基百科/延平郡王祠)記載的是歷史上四個派下輪值祭祀的背景資料,性質是輪值祭典而非誕辰宣告,與前兩源不可互相佐證;7/24、8/18 兩個候選見本表另兩行,同樣各自僅有零星、獨立性存疑的來源支持。三輪查證共出現三個不同候選日期,顯示共識不存在。"
開臺聖王,國姓爺,7,24,千秋,千秋,setn新聞用「誕辰」,https://tcmazu.org/pilgrimage-temples/,https://baodao.setn.com/news/810372,,false,"仍僅2個來源且獨立性存疑(是否互相轉載未能確認);與另外兩個候選日期(正月十六、8/18)合計三輪查證共出現三個不同候選日期,來源性質不一致,共識不存在,三者皆不予收錄,本行僅供記錄對照"
開臺聖王,國姓爺,8,18,聖誕,,"原始網頁未使用明確敬稱詞,僅稱「開台聖王誕辰都舉行隆重的祭典」",https://www.dianangong.org.tw/?act=menuinfo&ml_id=20210715008&cmd=detail&mi_id=20210719006,,,false,"仍僅1個來源(北斗奠安宮),第二輪重新查證仍無法確認原始網頁是否明確標示農曆,曆制不確定;與另外兩個候選日期(正月十六、7/24)合計三輪查證共出現三個不同候選日期,來源性質不一致,共識不存在,三者皆不予收錄,本行僅供記錄對照"
城隍爺,,,,千秋,,"各地用詞不一,無單一引用",https://www.twcitygod.org.tw/?page_id=49,https://taiwangods.moi.gov.tw/html/landscape/1_0011.aspx?i=13,https://religion.moi.gov.tw/Knowledge/Content?ci=2&cid=259,false,"第二輪重查確認結論不變:城隍信仰無全國統一聖誕日,依主祀城隍(受敕封之歷史人物)而異——台南臺灣府城隍(全台位階最高)五月十一、台北霞海城隍五月十三、新竹都城隍十一月廿九(WebSearch摘要,未經WebFetch逐字確認)。本表不擅自指定某一地代表全台,lunar_month/lunar_day留空"
五府千歲,,,,千秋,,"五位王爺各自不同用詞,且不同廟記載互相矛盾",https://luermen.org.tw/?act=menuinfo&ml_id=20231218027&cmd=detail&mi_id=20231218045,https://taiwangods.moi.gov.tw/,,false,"第二輪直接查南鯤鯓代天府(五府千歲總廟)官網確認:大王李府千歲4/26、五王范府千歲4/27、二王池府千歲6/18、四王朱府千歲8/15、三王吳府千歲9/15,五位王爺各自獨立生日;且朱府千歲(南鯤鯓代天府記載8/15)與正統鹿耳門聖母廟(記載10/15)互相矛盾,連個別王爺生日在不同廟宇間都對不上,進一步確認「五府千歲」整體無單一生日,結構性問題,非查證不足"
三山國王,,2,25,聖誕,聖誕,維基百科用詞未逐字記錄,https://www.nownews.com/news/5623785,https://zh.wikipedia.org/zh-tw/三山國王,,false,"仍僅2個獨立來源;第二輪查了竹東惠昌宮、苗栗三山國王廟、屏東潮州四春三山國王廟等主祀廟官網,皆未找到明確記載此日期的廟方公告頁面"
三山國王,,2,15,聖誕,,唯一提及來源(NOWnews)明確定性為農民曆歷史誤植、已修正,https://www.nownews.com/news/5623785,,,false,"查證結果與使用者原先假設的「二月十五、二月廿五兩說並存」有出入,二月十五並非現存活躍說法;第二輪多間主祀廟官網查證仍維持此結論。另查到巾山/明山/獨山三位國王可能各有二月廿五、六月廿五、九月廿五三個不同誕辰的說法,僅WebSearch摘要整理、未經WebFetch確認頁面佐證,不足採信,僅供未來查證方向參考"
九天玄女,,2,15,聖誕,聖誕,維基百科用詞,https://zh.wikipedia.org/zh-tw/九天玄女,,,false,"仍僅1個來源;第二輪查了龍井竹坑朝奉宮、台南太祖三清宮等主祀廟官網皆未載明確聖誕日期,新化九玄宮查無官網"
註生娘娘,,11,19,聖誕,聖誕,,https://shwm.org.tw/?act=menuinfo&ml_id=20250731032,,,false,"仍僅1個來源(台南新化武廟);第二輪確認該廟主祀關聖帝君,註生娘娘為配祀神,非主祀廟等級來源,且與第二輪新確認的三月二十主流說法(見主表)明顯衝突,信心低於三月二十"
臨水夫人,陳靖姑,1,14,聖誕,,,https://zh.wikipedia.org/zh-tw/臨水夫人,,,false,"仍僅1個來源(維基百科通用條目);第二輪確認台南臨水夫人媽廟(主祀廟,國定古蹟)查無獨立官網,僅有政府觀光/機關網頁,皆未載節日日期;該廟專屬維基條目「例祭」欄僅列正月十五,未列十四,兩維基條目彼此不一致"
臨水夫人,陳靖姑,1,15,聖誕,聖誕,人間通訊社原文「夫人聖誕」,https://zh.wikipedia.org/zh-tw/開基台南臨水夫人媽廟,https://www.lnanews.com/,,false,"第二輪找到第2個來源(人間通訊社報導),仍缺第3個獨立來源;台南臨水夫人媽廟查無獨立官網可供直接確認"
臨水夫人,陳靖姑,8,15,成道,,,https://zh.wikipedia.org/zh-tw/臨水夫人,https://zh.wikipedia.org/zh-tw/開基台南臨水夫人媽廟,,false,"仍僅維基百科體系(通用條目+專屬條目例祭欄)2筆,獨立性存疑,實質上可能僅算1個來源家族;該廟官網不存在無法直接查證"
